case,concurrency,requests,success,failed,input_tokens,output_tokens_limit,output_tokens,p_batch_wall_sampled_s,p_batch_aggregate_tokens_s,p_prefill_service_tokens_s,decode_active_span_aggregate_tokens_s,end_to_end_output_tokens_s,per_request_decode_tokens_s_median,ttft_median_s,d_running_max
golden_code,16,16,16,0,576,1024,5160,0.5653940640040673,1018.7584848712816,274.6178345177054,211.2944164013785,208.2358170838197,19.544349025082838,6.402359881991288,16.0
golden_code,24,24,24,0,864,1024,7559,0.5641836039721966,1531.4163579319093,283.35468911592295,396.8663044315919,391.82228989530756,20.072834141596083,1.279395087476587,24.0
golden_code,32,32,32,0,1152,1024,10233,0.592961510992609,1942.7905161526735,223.12371995531353,442.01883396809524,436.4020116585628,16.513774867054472,1.657386894512456,32.0
8192,16,16,16,0,131072,1024,16384,8.66186439001467,15132.077125462594,10974.52586311873,151.418005679642,149.96083750026054,10.343847091780056,5.801510199991753,16.0
8192,24,24,24,0,196608,1024,24576,12.884120164962951,15259.714864710388,10954.664015233684,202.1053808779526,200.6016679652569,9.475384165894347,8.076923154003453,24.0
8192,32,32,32,0,262144,1024,32768,16.811778064991813,15592.877742413122,10905.899482391884,223.65246105323092,222.2221259766103,7.824507584374505,9.699997559015173,32.0
32768,16,16,16,0,524288,1024,16384,32.11363385297591,16326.02533865582,14753.095215225672,122.10203743655376,119.49711649578735,9.823267510838676,19.713723759516142,16.0
32768,24,24,24,0,786432,1024,24576,48.25564560003113,16297.201917437256,14703.0671275612,152.04942392933174,149.36511868932968,8.432370754856057,28.92339276248822,24.0
32768,32,32,32,0,1048576,1024,32768,64.33847550401697,16297.806122784681,14609.221361629237,152.82750426162642,150.8235067502584,6.398616506271394,36.902972258511,32.0
