control_id,device,model,quantization,prompt_tokens,context_depth,kv_type,prefill_tok_s,engine,source_date,source_url,directly_comparable,reason
dgx-spark-9b-tq3,DGX Spark GB10,Qwen3.5 9B,TQ3_4S,2048,,,2766.28,llama.cpp-tq3 PR 53,2026-06-30,https://github.com/turbo-tan/llama.cpp-tq3/pull/53,false,Different quantization prompt length fork and FP4 cache-on kernel
dgx-spark-qwen38-27b-nvfp4-100k,DGX Spark GB10,Qwen3.8-27B,NVFP4,100000,,fp8_e4m3,1170,"SGLang + DFlash2 1M-context profile",2026-08-29,https://github.com/hasso5703/dgx-spark-qwen38/blob/17e7e2280e632b0a3ab91839c8c7522b256937ac/BENCHMARKS.md#L232-L243,false,"Different quantization engine prompt depth and test method"
dgx-spark-qwen38-27b-nvfp4-200k,DGX Spark GB10,Qwen3.8-27B,NVFP4,200000,,fp8_e4m3,800,"SGLang + DFlash2 1M-context profile",2026-08-29,https://github.com/hasso5703/dgx-spark-qwen38/blob/17e7e2280e632b0a3ab91839c8c7522b256937ac/BENCHMARKS.md#L232-L243,false,"Different quantization engine prompt depth and test method"
dgx-spark-qwen38-27b-nvfp4-300k,DGX Spark GB10,Qwen3.8-27B,NVFP4,300000,,fp8_e4m3,615,"SGLang + DFlash2 1M-context profile",2026-08-29,https://github.com/hasso5703/dgx-spark-qwen38/blob/17e7e2280e632b0a3ab91839c8c7522b256937ac/BENCHMARKS.md#L232-L243,false,"Different quantization engine prompt depth and test method"
